,periods_fast,periods_slow,end_value,return_ave,max_draw_downs,win_trades,loss_trades,total_trades,win_ratio,ave_win_value,ave_loss_value,ave_win_loss_ratio,return_rank,max_draw_downs_rank,win_ratio_rank,ave_win_loss_ratio_rank,rank
368,7,44,10419,0.0004939674488950557,31.269931802403953,11,23,34,0.3235294117647059,575.5204075934136,-257.00809190568185,-2.239308510973347,267.0,290.0,215.0,185.0,239.25
375,7,37,10578,0.0006589780523226801,27.076996579282042,14,28,42,0.3333333333333333,414.7405200247592,-186.69440717973154,-2.2214940784245703,299.0,200.0,266.0,193.0,239.5
108,16,43,8667,-0.0016025591824794549,36.81430994811228,9,21,30,0.3,487.580499051369,-272.46568309081283,-1.789511594709189,45.0,423.0,121.0,370.0,239.75
310,9,44,10108,0.00020251189893025171,31.683109674242285,10,21,31,0.3225806451612903,550.6127714021216,-257.01009905764226,-2.1423779587689666,227.0,300.0,211.0,222.0,240.0
232,12,35,10926,0.0008666546737479389,25.480359756193735,13,25,38,0.34210526315789475,481.12956294814103,-213.12184250322753,-2.2575328614703336,328.0,170.0,285.0,177.0,240.0
187,14,22,12164,0.002130131390248409,17.93968649045061,22,37,59,0.3728813559322034,360.68665587622587,-155.95072782071858,-2.3128244472887123,426.0,34.0,359.0,144.0,240.75
33,19,31,8532,-0.0017728950040740515,37.35960207922981,13,30,43,0.3023255813953488,384.76348348653886,-215.67441643568506,-1.7840015048853828,38.0,427.0,125.0,374.0,241.0
391,7,21,10980,0.0007410181448763212,21.354050120577345,20,36,56,0.35714285714285715,329.25085485403804,-155.66959379147582,-2.1150620801071764,311.0,93.0,326.0,234.0,241.0
278,10,47,8860,-0.0012798815065442064,36.383146339300936,10,23,33,0.30303030303030304,474.78423360051477,-256.02291176587886,-1.8544599400333477,69.0,417.0,135.0,345.0,241.5
96,17,26,10513,0.0003548259045696802,19.95841718872399,19,34,53,0.3584905660377358,331.2956144893467,-170.04066943880736,-1.9483316290316668,244.0,78.0,327.0,317.0,241.5
400,6,41,10145,0.00025318844446159785,30.712802611000807,13,27,40,0.325,440.0091084257516,-206.47593637443862,-2.131043046235697,235.0,277.0,229.0,226.0,241.75
432,5,38,9457,-0.0005114408121126976,32.95270556763515,14,30,44,0.3181818181818182,408.14170192333444,-208.5956626596756,-1.9566164354491815,134.0,330.0,193.0,311.0,242.0
184,14,25,13190,0.0030097951542145756,17.94042136553803,18,27,45,0.4,436.08991729059056,-172.56513619085598,-2.5271032545547194,445.0,37.0,425.0,63.0,242.5
205,13,33,11138,0.0010757498432881893,23.690692295124595,13,24,37,0.35135135135135137,465.0573130608599,-204.45329173837877,-2.2746384228235055,362.0,137.0,308.0,165.0,243.0
416,6,25,9512,-0.0008050166712425636,29.132494753709476,17,34,51,0.3333333333333333,345.56450112875586,-187.16336905076483,-1.8463255009853314,110.0,250.0,266.0,351.0,244.25
321,9,33,9690,-0.00025772453985670836,33.55827392910168,13,28,41,0.3170731707317073,412.1677242736723,-202.44138519127435,-2.0359854971563274,165.0,345.0,189.0,278.0,244.25
213,13,25,12518,0.002441819813585951,18.629164768362003,18,28,46,0.391304347826087,380.9695236709979,-154.95138891458097,-2.458638972774955,438.0,50.0,409.0,80.0,244.25
302,10,23,11115,0.0009065177997451692,18.864695294673457,19,33,52,0.36538461538461536,345.23492004182054,-164.96529681006615,-2.092773005702581,331.0,61.0,339.0,246.0,244.25
128,16,23,13672,0.0033997152437290896,18.57994505699124,23,35,58,0.39655172413793105,397.5842925369041,-156.3518962519334,-2.5428811678514434,449.0,49.0,418.0,62.0,244.5
260,11,36,10938,0.0010118907043180053,25.961191686997193,13,25,38,0.34210526315789475,469.73234362043706,-206.710380417722,-2.2724177792677764,350.0,179.0,285.0,166.0,245.0
323,9,31,11715,0.0017678772548490142,21.59291073104557,15,25,40,0.375,388.9287757084057,-164.7514719939479,-2.3606998529439114,405.0,98.0,365.0,115.0,245.75
448,5,22,10301,4.711888408970803e-05,26.772691772435383,21,40,61,0.3442622950819672,308.45154346657506,-154.3917775212579,-1.9978495514380938,206.0,191.0,292.0,294.0,245.75
